"date","discharge_m3_s"
2023-03-28,92.3251203625035
2023-03-29,163.6930048145
2023-03-30,127.725856697819
2023-03-31,99.9716794109317
2023-04-01,86.3777966581705
2023-04-02,84.3953554233928
2023-04-03,75.899178702917
2023-04-04,67.4030019824412
2023-04-05,61.1724723874257
2023-04-06,57.4907958085528
2023-04-07,97.9892381761541
2023-04-08,97.1396205041065
2023-04-09,79.5808552817899
2023-04-10,70.518266779949
2023-04-11,66.2701784197111
2023-04-12,59.4732370433305
2023-04-13,54.0923251203625
2023-04-14,48.7114131973945
2023-04-15,44.1801189464741
2023-04-16,40.4984423676012
2023-04-17,38.232795242141
2023-04-18,39.3656188048711
2023-04-19,36.2503540073633
2023-04-20,33.1350892098556
2023-04-21,30.8694420843954
2023-04-22,29.1702067403002
2023-04-23,27.6692155196828
2023-04-24,26.1682242990654
2023-04-25,24.8088360237893
2023-04-26,23.4777683375814
2023-04-27,22.2033418295101
2023-04-28,21.0705182667799
2023-04-29,20.2209005947324
2023-04-30,19.5412064570943
2023-05-01,19.173038799207
2023-05-02,19.2580005664118
2023-05-03,19.399603511753
2023-05-04,18.7765505522515
2023-05-05,18.2951005380912
2023-05-06,19.4845652789578
2023-05-07,19.7394505805721
2023-05-08,20.9572359105069
2023-05-09,23.4211271594449
2023-05-10,21.7785329934863
2023-05-11,19.8810535259133
2023-05-12,18.9747946757293
2023-05-13,18.3234211271594
2023-05-14,17.6720475785896
2023-05-15,16.9357122628151
2023-05-16,15.8595298782215
2023-05-17,14.4435004248088
2023-05-18,13.5938827527613
2023-05-19,13.0274709713962
2023-05-20,12.4893797790994
2023-05-21,11.9796091758709
2023-05-22,11.5264797507788
2023-05-23,11.101670914755
2023-05-24,10.7051826677995
2023-05-25,10.3370150099122
2023-05-26,10.0254885301614
2023-05-27,9.77060322854715
2023-05-28,9.51571792693288
2023-05-29,9.45907674879637
2023-05-30,9.77060322854715
2023-05-31,9.43075615972812
2023-06-01,9.00594732370433
2023-06-02,8.63777966581705
2023-06-03,8.32625318606627
2023-06-04,8.01472670631549
2023-06-05,7.75984140470122
2023-06-06,7.5332766921552
2023-06-07,7.56159728122345
2023-06-08,7.64655904842821
2023-06-09,7.5332766921552
2023-06-10,7.22175021240442
2023-06-11,6.79694137638063
2023-06-12,6.31549136222033
2023-06-13,5.89068252619654
2023-06-14,5.60747663551402
2023-06-15,5.4375531011045
2023-06-16,5.29595015576324
2023-06-17,4.98442367601246
2023-06-18,4.70121778532993
2023-06-19,4.55961483998867
2023-06-20,4.64457660719343
2023-06-21,4.58793542905692
2023-06-22,4.50297366185217
