date,q.cms,site
2021-03-25,4.672897196261682,PL
2021-03-26,4.559614839988671,PL
2021-03-27,4.446332483715661,PL
2021-03-28,4.64457660719343,PL
2021-03-29,4.616256018125177,PL
2021-03-30,4.531294250920419,PL
2021-03-31,4.587935429056924,PL
2021-04-01,4.672897196261682,PL
2021-04-02,4.64457660719343,PL
2021-04-03,4.842820730671198,PL
2021-04-04,5.1260266213537236,PL
2021-04-05,5.52251486830926,PL
2021-04-06,5.692438402718776,PL
2021-04-07,5.919003115264797,PL
2021-04-08,5.664117813650524,PL
2021-04-09,5.4941942792410075,PL
2021-04-10,5.267629566694987,PL
2021-04-11,5.0127442650807135,PL
2021-04-12,4.814500141602945,PL
2021-04-13,4.559614839988671,PL
2021-04-14,4.361370716510903,PL
2021-04-15,4.361370716510903,PL
2021-04-16,4.248088360237893,PL
2021-04-17,4.389691305579156,PL
2021-04-18,4.4180118946474085,PL
2021-04-19,4.64457660719343,PL
2021-04-20,4.672897196261682,PL
2021-04-21,4.672897196261682,PL
2021-04-22,4.672897196261682,PL
2021-04-23,4.842820730671198,PL
2021-04-24,4.871141319739451,PL
2021-04-25,5.210988388558482,PL
2021-04-26,5.352591333899745,PL
2021-04-27,5.2393089776267345,PL
2021-04-28,5.1260266213537236,PL
2021-04-29,5.1260266213537236,PL
2021-04-30,5.352591333899745,PL
2021-05-01,6.088926649674312,PL
2021-05-02,6.457094307561597,PL
2021-05-03,6.372132540356839,PL
2021-05-04,6.117247238742565,PL
2021-05-05,5.919003115264797,PL
2021-05-06,5.862361937128292,PL
2021-05-07,6.202209005947323,PL
2021-05-08,6.796941376380628,PL
2021-05-09,6.6553384310393655,PL
2021-05-10,6.400453129425092,PL
2021-05-11,6.173888416879071,PL
2021-05-12,5.890682526196544,PL
2021-05-13,5.352591333899745,PL
2021-05-14,5.1260266213537236,PL
2021-05-15,5.182667799490229,PL
2021-05-16,5.550835457377513,PL
2021-05-17,5.94732370433305,PL
2021-05-18,6.853582554517134,PL
2021-05-19,7.306711979609175,PL
2021-05-20,7.618238459359954,PL
2021-05-21,6.995185499858397,PL
2021-05-22,7.221750212404418,PL
2021-05-23,7.646559048428207,PL
2021-05-24,7.844803171905975,PL
2021-05-25,7.051826677994902,PL
2021-05-26,6.910223732653638,PL
2021-05-27,6.71197960917587,PL
2021-05-28,6.372132540356839,PL
2021-05-29,6.4287737184933444,PL
2021-05-30,6.570376663834607,PL
2021-05-31,6.910223732653638,PL
2021-06-01,7.561597281223449,PL
2021-06-02,8.32625318606627,PL
2021-06-03,10.535259133389975,PL
2021-06-04,12.064570943075616,PL
2021-06-05,13.084112149532709,PL
2021-06-06,12.376097422826394,PL
2021-06-07,9.402435570659868,PL
2021-06-08,8.269612007929764,PL
2021-06-09,8.496176720475786,PL
2021-06-10,8.6661002548853,PL
2021-06-11,9.005947323704332,PL
2021-06-12,8.86434437836307,PL
2021-06-13,8.354573775134522,PL
2021-06-14,8.382894364202775,PL
2021-06-15,7.561597281223449,PL
2021-06-16,7.2500708014726705,PL
2021-06-17,6.372132540356839,PL
