"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","MCY_det_limit","ATX_det_limit","ATX_all_ug_g"
"SFE-M-3","y","2023-07-10","TM","10/15/2023",212.2,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0679,"ND"
"SFE-SH-1S","n","2023-07-11","TM","10/15/2023",193.4,10,"50% methanol","ND","ND","ND","ND","ND","0.1",0.0749,"ND"
"SAL-1S","y","2023-07-13","TM","10/15/2023",189.2,10,"50% methanol","ND","ND","ND","ND","ND","0.1",0.0776,"ND"
"SAL-1S","y","2023-07-13","TM","10/15/2023",177.5,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0724,"ND"
"SAL-1S","y","2023-07-13","TM","10/15/2023",185.2,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0637,"ND"
"BLANK 5","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","1.82",1.4142,"ND"
"SAL-2","n","2023-07-13","TM","10/15/2023",224.4,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0724,"ND"
"SAL-3","n","2023-07-13","TM","10/15/2023",197.8,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0634,"ND"
"SFE-SH-1S","n","2023-07-17","TM","10/15/2023",214.6,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0716,"ND"
"SFE-M-1S","n","2023-07-17","TM","10/15/2023",205.6,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0716,"ND"
"SFE-M-3","y","2023-07-17","TM","10/15/2023",205.7,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0684,"ND"
"SFE-M-3","y","2023-07-17","TM","10/15/2023",244.4,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0388,"ND"
"SFE-M-3","y","2023-07-17","TM","10/15/2023",218.8,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0341,"ND"
"SFE-SH-1S","n","2023-07-24","TM","10/15/2023",191.6,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0397,"ND"
"SFE-M-1S","n","2023-07-24","TM","10/15/2023",210.5,10,"50% methanol","ND","ND","ND","ND","ND","ND",0.0356,"ND"
"SFE-M-2","n","2023-07-24","TM","10/15/2023",219,10,"50% methanol","ND","0.025","ND","ND","ND","0.09",0.0357,"ND"
"SFE-M-3","n","2023-07-24","TM","10/15/2023",185.7,10,"50% methanol","ND","0.09","ND","ND","ND","0.1",0.042,"ND"
"SAL-1S","n","2023-07-27","TM","10/15/2023",213.1,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0366,"ND"
"SAL-2","n","2023-07-27","TM","10/15/2023",245.1,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0319,"ND"
"SAL-3","n","2023-07-27","TM","10/15/2023",221.1,10,"50% methanol","ND","ND","ND","ND","ND","0.08",0.0353,"ND"
"SFE-SH-1S","n","2023-07-31","TM","10/15/2023",181.2,10,"50% methanol","ND","0.131","ND","ND","ND","0.1",0.0431,"ND"
"SFE-M-1S","y","2023-07-31","TM","10/15/2023",208.6,10,"50% methanol","ND","0.373","ND","ND","ND","0.09",0.0374,"ND"
"SFE-M-1S","y","2023-07-31","TM","10/15/2023",194.2,10,"50% methanol","ND","0.239","ND","ND","ND","0.1",0.0402,"ND"
"SFE-M-1S","y","2023-07-31","TM","10/15/2023",204.3,10,"50% methanol","ND","0.063","ND","0.027","ND","0.09",0.0382,"ND"
"SFE-M-2","n","2023-07-31","TM","10/15/2023",197.2,10,"50% methanol","ND","0.081","ND","ND","ND","0.1",0.0396,"ND"
"SFE-M-3","n","2023-07-31","TM","10/15/2023",191.2,10,"50% methanol","ND","0.268","ND","0.045","ND","0.1",0.0408,"ND"
"SFE-M-1S","y","2023-08-07","TM","11/3/2023",191.5,10,"50% methanol","ND","0.342","ND","0.055","ND","0.1",0.0408,"ND"
"SFE-M-1S","y","2023-08-07","TM","11/3/2023",207.1,10,"50% methanol","ND","0.213","ND","0.061","ND","0.09",0.0377,"ND"
"SFE-M-1S","y","2023-08-07","TM","11/3/2023",195,10,"50% methanol","ND","0.328","ND","0.094","ND","0.1",0.04,"ND"
"SFE-M-2","n","2023-08-07","TM","11/3/2023",224.7,10,"50% methanol","ND","2.42","ND","0.338","ND","0.08",0.0347,"ND"
"SFE-M-3","n","2023-08-07","TM","11/3/2023",227.1,10,"50% methanol","ND","1.536","ND","0.352","ND","0.08",0.0344,"ND"
"SFE-M-4","n","2023-08-07","TM","10/11/2023",230.9,10,"50% methanol","ND","0.253","ND","0.02","ND","0.08",0.0338,"ND"
"SAL-1S","y","2023-08-10","TM","11/3/2023",211.6,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0369,"ND"
"SAL-1S","y","2023-08-10","TM","11/3/2023",201.8,10,"50% methanol","ND","ND","ND","0.004","ND","0.09",0.0387,"ND"
"SAL-1S","y","2023-08-10","TM","11/3/2023",189.3,10,"50% methanol","ND","ND","ND","ND","ND","0.1",0.0412,"ND"
"BLANK 6","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","1.87",0.7808,"ND"
"SAL-2","n","2023-08-10","TM","11/3/2023",198.3,10,"50% methanol","ND","ND","ND","ND","ND","0.09",0.0394,"ND"
"SAL-3","n","2023-08-10","TM","11/3/2023",196.8,10,"50% methanol","ND","ND","ND","ND","ND","0.1",0.0397,"ND"
