"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth"
2022-08-09 14:55:00,25.077,9.659,868.886666666667,693.190546196427,1.19496980011157,0.270782681602845
2022-08-09 15:00:00,25.119,9.634,862.58,693.203672312147,1.19496980011157,0.270782681602845
2022-08-09 15:05:00,25.119,9.698,852.118333333333,693.216798427866,1.19496980011157,0.270782681602845
2022-08-09 15:10:00,25.136,9.74,841.656666666667,693.229924543586,1.19496980011157,0.270782681602845
2022-08-09 15:15:00,25.169,9.74,831.195,693.243050659306,1.19496980011157,0.270782681602845
2022-08-09 15:20:00,25.169,9.742,820.733333333333,693.256176775026,1.19496980011157,0.270782681602845
2022-08-09 15:25:00,25.186,9.794,810.271666666667,693.269302890746,1.19496980011157,0.270782681602845
2022-08-09 15:30:00,25.211,9.868,799.81,693.282429006466,1.19496980011157,0.270782681602845
2022-08-09 15:35:00,25.22,9.838,789.348333333333,693.295555122185,1.19496980011157,0.270782681602845
2022-08-09 15:40:00,25.228,9.853,778.886666666667,693.308681237905,1.19496980011157,0.270782681602845
2022-08-09 15:45:00,25.27,9.923,768.425,693.321807353625,1.19496980011157,0.270782681602845
2022-08-09 15:50:00,25.304,9.938,757.963333333333,693.334933469345,1.19496980011157,0.270782681602845
2022-08-09 15:55:00,25.304,9.931,747.501666666667,693.348059585065,1.19496980011157,0.270782681602845
2022-08-09 16:00:00,25.329,9.949,737.04,693.361185700785,1.19496980011157,0.270782681602845
2022-08-09 16:05:00,25.371,9.991,722.158333333333,693.374311816504,1.19496980011157,0.270782681602845
2022-08-09 16:10:00,25.354,9.988,707.276666666667,693.387437932224,1.19496980011157,0.270782681602845
2022-08-09 16:15:00,25.371,10.035,692.395,693.400564047944,1.19496980011157,0.270782681602845
2022-08-09 16:20:00,25.439,10.13,677.513333333333,693.413690163664,1.19496980011157,0.270782681602845
2022-08-09 16:25:00,25.439,10.115,662.631666666667,693.426816279384,1.19496980011157,0.270782681602845
2022-08-09 16:30:00,25.422,9.976,647.75,693.439942395104,1.19496980011157,0.270782681602845
2022-08-09 16:35:00,25.397,9.877,632.868333333333,693.453068510823,1.19496980011157,0.270782681602845
2022-08-09 16:40:00,25.397,9.82,617.986666666667,693.466194626543,1.19496980011157,0.270782681602845
2022-08-09 16:45:00,25.413,9.871,603.105,693.479320742263,1.19496980011157,0.270782681602845
