"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-07-09,4.23881934851684,3.40326986400461,5.08170450926292,1.00098249077919,-5.59448628976717,-6.82526752517649,-4.35986813362364,1.00148269702565,-1.35566694125033,-3.42199766117187,0.721836375639279,4.12903888983608,1.00421450338
"sfkeel_mir_2023",2023-07-10,3.96297622761818,3.14034811675671,4.77581705321549,1.0002638830061,-4.79605118732997,-5.98592074148768,-3.59122442135128,1.00028569188473,-0.833074959711794,-2.84557262473096,1.18459263186421,4.10329529456154,1.00441460594449
"sfkeel_mir_2023",2023-07-11,3.35367525161322,2.53107716579014,4.16054161725107,0.999941670113325,-4.69837752401211,-5.914816262696,-3.50455894281136,1.00000501398143,-1.34470227239888,-3.38373909690586,0.655982674439717,4.09255366759829,1.00498827307759
"sfkeel_mir_2023",2023-07-12,3.34178334637915,2.51698215171756,4.15392548141912,1.00058341957132,-3.86767423229439,-5.04631138170158,-2.67671981796296,1.0002204703874,-0.525890885915232,-2.52932922998402,1.47720566345616,4.08892591708401,1.00626302505969
"sfkeel_mir_2023",2023-07-13,3.37952189051303,2.57830686792783,4.19256731003171,1.00049690782909,-4.48333241536154,-5.66643647485343,-3.29327508342405,1.00045001796549,-1.10381052484851,-3.0881296069256,0.89929222660766,4.05393350910518,1.00411132861277
"sfkeel_mir_2023",2023-07-14,3.973592215498,3.15273575230523,4.77552739081236,1.00059336035309,-5.8553669675942,-7.07632920654507,-4.64933061727077,1.00081474986236,-1.8817747520962,-3.92359345423984,0.12619677354159,4.03512405068871,1.00514339267885
"sfkeel_mir_2023",2023-07-15,3.44898079910791,2.6351911764022,4.25668929116217,1.00091343208838,-5.00741067147781,-6.22875017319879,-3.78869320551116,1.00119116555578,-1.55842987236991,-3.59355899679659,0.467996085651006,4.025656760705,1.00598802213258
"sfkeel_mir_2023",2023-07-16,3.88373758543209,3.0879176503179,4.7013300169994,1.00089388388098,-5.36927251333086,-6.56904839797171,-4.18614721418502,1.00107130359127,-1.48553492789878,-3.48113074765381,0.515182802814381,4.00435563972715,1.00646984560799
"sfkeel_mir_2023",2023-07-17,3.5029835354709,2.71557551215637,4.2972796916222,1.00178592980655,-3.94678960609197,-5.10274099066179,-2.77283748643957,1.00126585600939,-0.443806070621072,-2.38716547850541,1.52444220518263,4.02658303653425,1.00602610673039
"sfkeel_mir_2023",2023-07-18,3.64421829213968,2.856151547878,4.43142005159283,1.00106660144687,-4.22000998007631,-5.39131712546879,-3.08579384432835,1.00155775508507,-0.575791687936634,-2.5351655775908,1.34562620726448,3.96436660518607,1.00529582256916
"sfkeel_mir_2023",2023-07-19,4.3646570596894,3.56897633871505,5.13908774502392,1.00068752422424,-4.87294064171411,-6.01336132856141,-3.71335966331831,1.0010262490027,-0.508283582024709,-2.44438498984637,1.42572808170561,3.94207339848796,1.00562747081676
"sfkeel_mir_2023",2023-07-20,4.36121930944102,3.56654683096728,5.14307525757168,1.00082619726761,-4.55253172050591,-5.71561938499292,-3.38648719573393,1.00105519699133,-0.191312411064895,-2.14907255402564,1.75658806183776,3.9197903416329,1.00502153613586
