"parameters","site_reach","model","predicting","mean","ci_lower","ci_upper"
"Conductivity","SFE-M-2","all_w_cover","M_atx",33.4271469281094,8.66546542175698,62.1646008201827
"Conductivity","SFE-M-3","all_w_cover","M_atx",29.5855932093023,-0.22287652450429,62.6630337041709
"Conductivity","SFE-M-4","all_w_cover","M_atx",43.7508656969093,22.1683835113281,68.624667606048
"Conductivity","SFE-SH-1S","all_w_cover","M_atx",45.9970694336101,23.2323573132066,71.632302265613
"Cover","SFE-M-1S","all_w_cover","M_atx",2.33937735748095,-1.3181395758745,5.89851109643543
"Cover","SFE-M-2","all_w_cover","M_atx",2.19166593817352,-1.44782560402869,5.85575443192238
"Cover","SFE-M-3","all_w_cover","M_atx",1.53152360727409,-2.03746347437628,5.12756726005593
"Cover","SFE-M-4","all_w_cover","M_atx",-0.648813785217383,-4.10877321492731,2.92795725625465
"Cover","SFE-SH-1S","all_w_cover","M_atx",1.7412696380632,-1.909696858856,5.36593313857786
"DIN","SFE-M-1S","all_w_cover","M_atx",-1.88740788159311,-15.8984407882131,12.3545184969229
"DIN","SFE-M-2","all_w_cover","M_atx",-0.602822373827099,-16.4265238220547,14.2303374980196
"DIN","SFE-M-3","all_w_cover","M_atx",-0.373354180591981,-17.8011861590884,17.3651523127888
"DIN","SFE-M-4","all_w_cover","M_atx",0.956905143723552,-11.4113164637879,12.9022764196066
"DIN","SFE-SH-1S","all_w_cover","M_atx",-10.0794576093535,-23.5470627750049,3.22612633404415
"Discharge","SFE-M-1S","all_w_cover","M_atx",-40.1217259179577,-69.2299120600087,-9.97745820552054
"Discharge","SFE-M-2","all_w_cover","M_atx",-32.9194813516879,-63.003833115267,-1.27043568342085
"Discharge","SFE-M-3","all_w_cover","M_atx",-35.145602791348,-68.5921563147803,-0.64437322631866
"Discharge","SFE-M-4","all_w_cover","M_atx",-43.36154067565,-68.5486990274859,-16.9476615945077
"Discharge","SFE-SH-1S","all_w_cover","M_atx",-18.8333740636697,-45.9474871311098,8.73341199044251
"GPP","SFE-M-1S","all_w_cover","M_atx",28.0269907720803,11.3569173787182,47.391963963063
