"parameters","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S","model","predicting"
"b0",1.00023892645779,1.00026816579131,1.00007400240208,0.999956587708426,1.00004730076469,"biochemical_w_cover","AC_atx"
"DIN",1.00009153094201,1.00002392464084,0.999950236938003,1.00002023802553,0.999912647797473,"biochemical_w_cover","AC_atx"
"OPhos",1.00005448872797,1.00023131735033,1.00039068037381,1.00039352606944,1.00007514167892,"biochemical_w_cover","AC_atx"
"Conductivity",0.99987259576174,1.00001313668876,1.00007915611576,1.00050529911014,1.00036241163897,"biochemical_w_cover","AC_atx"
"GPP",1.0003283107641,1.00021969478073,1.00048983573286,0.999968562563446,0.999938085387747,"biochemical_w_cover","AC_atx"
"Cover",1.00012625499488,0.999951121590768,1.00032825309066,0.999936421166732,1.00064372522221,"biochemical_w_cover","AC_atx"
"sigma",1.00014186137659,1.00005075309783,0.999982654704763,1.00016164684789,1.00031566511573,"biochemical_w_cover","AC_atx"
"lp__",1.00022949876393,1.00067487588909,1.00017208099834,1.00038069360151,0.999927016729318,"biochemical_w_cover","AC_atx"
"b0",0.99992718024919,1.00000583638736,1.0000291974639,0.999935372885332,0.999885646269659,"biological","AC_atx"
"GPP",1.00033782927161,1.00001955458315,0.999943189180748,1.00027785467774,0.999934893072736,"biological","AC_atx"
"sigma",0.999887619553371,0.999841223706836,1.00040642594041,1.00021984708402,1.00011452663742,"biological","AC_atx"
"lp__",1.0004279422182,1.00013562919092,1.00004423992293,1.00042235005073,1.00014106898721,"biological","AC_atx"
"b0",0.999918496781063,0.999986023122028,0.999986855739483,1.00007093554605,0.999945084276757,"biological_w_cover","AC_atx"
"GPP",1.00001199888151,0.99984056114916,1.00006524381797,0.999869929245359,1.00022166359481,"biological_w_cover","AC_atx"
"Cover",0.999945301599206,1.00001632979952,1.0000123187875,1.00001356977159,1.00012648978079,"biological_w_cover","AC_atx"
"sigma",0.999917655411835,1.00006434721511,0.999990080560999,1.00044426017286,0.999865420492921,"biological_w_cover","AC_atx"
"lp__",1.00016052157571,1.0001718717105,1.0001696881416,1.00020020373203,1.00035782602262,"biological_w_cover","AC_atx"
"b0",1.00007732845308,0.999940281417314,0.999911743257239,1.00004383335827,0.999986471393119,"chemical","AC_atx"
"DIN",1.00019826995412,1.00006055483105,1.00046544417958,0.999944374897877,1.00000884566866,"chemical","AC_atx"
"OPhos",1.00007035575133,0.999919023831064,1.00022654428504,0.999874408830071,0.999858420041084,"chemical","AC_atx"
"Conductivity",0.999925418831967,1.00003201983939,1.00009665819137,0.999962259311958,0.999930206247927,"chemical","AC_atx"
"sigma",1.00012073973166,1.00015178326306,0.999964116158115,0.999899427535118,0.999969501603927,"chemical","AC_atx"
"lp__",1.00049588199784,1.00058470159859,1.00027568722909,0.999854947085924,0.999999890203074,"chemical","AC_atx"
