"parameters","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S","model","predicting"
"Temperature",0.999930015684614,0.999872099837798,0.999912222192164,0.999951813124283,0.999922772326442,"physicochemical_w_cover","M_atx"
"Discharge",1.00024333294714,1.00031057135815,0.999859404834555,1.00026375518433,1.00018843479522,"physicochemical_w_cover","M_atx"
"DIN",0.99996530402784,0.999858163878626,1.0000520560099,0.999862850182351,0.999971060127561,"physicochemical_w_cover","M_atx"
"OPhos",0.999898469213067,1.00007738295596,1.00006900682699,1.00005870844286,0.99986935035125,"physicochemical_w_cover","M_atx"
"Conductivity",1.00023751680418,1.00033206754385,0.999950553089536,1.00026099736028,1.00013649533431,"physicochemical_w_cover","M_atx"
"Cover",1.00016953726363,0.999940597161741,0.999931465039126,0.999928831718195,1.00006317631491,"physicochemical_w_cover","M_atx"
"sigma",1.00032233552073,0.999918640426697,0.999950067699845,1.00011456770258,1.00027956928424,"physicochemical_w_cover","M_atx"
"lp__",1.00050741243934,0.99987419096314,1.00012310027571,1.00011896463848,1.00055927259312,"physicochemical_w_cover","M_atx"
"b0",0.999847724506944,0.999915705314946,1.00002265466367,1.00046030803134,0.999918146281042,"all","AC_atx"
"Temperature",0.999907650129827,0.99988181356831,1.00011203204985,0.999935719517427,1.00012233727739,"all","AC_atx"
"Discharge",0.999958383498946,0.999970924167706,0.999868991497784,1.00012240811246,0.999966886855556,"all","AC_atx"
"DIN",1.00025578179459,1.00001041325275,1.00001488191377,1.00031726282649,1.00001433263696,"all","AC_atx"
"OPhos",1.00022667290129,0.999840747463801,1.00011668208111,0.999900406578523,1.00035926051245,"all","AC_atx"
"Conductivity",1.00028711678001,1.00007226246746,1.00018368376023,1.00027768333485,1.00037404332346,"all","AC_atx"
"GPP",0.999990408676869,1.00016606341911,0.999893610371584,0.999841619448163,0.999887450662019,"all","AC_atx"
"sigma",1.00001517997211,1.00008212770364,1.00007855677483,1.00018166220678,0.999922975615648,"all","AC_atx"
"lp__",1.00042771258089,1.00000133841932,1.00038827657818,1.00041708932536,1.00020234286465,"all","AC_atx"
"b0",1.00011422755988,1.0001742909557,0.999914468756001,0.999954916074461,0.999858510360913,"all_w_cover","AC_atx"
"Temperature",0.999929262572316,0.999905388903584,1.00024732010613,0.999985998312267,0.999889198331881,"all_w_cover","AC_atx"
"Discharge",1.00006296038426,0.999893957124559,0.999938580885352,1.00023789403656,1.0002006206135,"all_w_cover","AC_atx"
"DIN",0.999964419795507,1.00016346722515,1.00014396874667,0.999835605936062,1.00014514787923,"all_w_cover","AC_atx"
"OPhos",1.00015592810567,0.999951580106022,0.999832410890241,0.999858294761223,1.00038723224493,"all_w_cover","AC_atx"
"Conductivity",1.00011044433712,1.00018218969531,1.00025333130798,0.999981049920786,1.00046162939332,"all_w_cover","AC_atx"
"GPP",1.00003410920564,0.999892607939156,1.00026209517717,0.999931533747964,1.00004708243044,"all_w_cover","AC_atx"
"Cover",1.00014289352437,0.999943255081792,0.999841446822899,0.999941110671019,1.00003364591421,"all_w_cover","AC_atx"
"sigma",1.00022411782263,0.999988326742336,0.99992115648673,1.00019614564317,1.00009672655365,"all_w_cover","AC_atx"
"lp__",1.00016959159486,1.0000200862487,1.0004793187568,1.00054983484357,1.00024314980637,"all_w_cover","AC_atx"
"b0",1.00032156033975,0.999985445683282,1.00014615748966,1.0000684228075,0.999879196855609,"biochemical","AC_atx"
"DIN",1.00044907083755,0.999836147621223,0.99996653553727,1.00026764182117,0.99987400526303,"biochemical","AC_atx"
"OPhos",0.999970240583573,1.00018645841377,1.00037601348413,0.99998181309243,1.00029929984794,"biochemical","AC_atx"
"Conductivity",1.00026011580578,0.999999409129956,0.999889162789321,1.00001934058585,1.00034894497014,"biochemical","AC_atx"
"GPP",1.00001999751198,1.00056861504445,1.0001235276016,0.999824368462385,0.999965011028223,"biochemical","AC_atx"
"sigma",0.999865702799313,1.00019769450198,1.00057137524926,1.00008176312131,1.00021582833654,"biochemical","AC_atx"
"lp__",0.999962518970024,1.00049794015487,1.00024274317822,0.999976374235271,1.00026051810026,"biochemical","AC_atx"
