SORT,Sample #,Waterbody / Project,Collection Date,Date Received,Analysis Requested,MC Results sent?,ATX Results sent?,PST Results sent?,Notes,Invoice                   / Final Report,,Sample Type,Sample Volume For Toxin (mL),,Sample weight based?  (FW or DW),Extracted Sample Weight (g),Who Weighed?,,Sample Extracted?,Extraction Volume (mL),Date Extracted,Who Extracted?,,HPLC RUN?,AVERAGE LCMS μg/l or μg/g,Min Detect Limit,,(n),MS/MS,,(ATX+HTX) only,ATX + dhATX + HTX+dhHTX,Detection limit       ATX by  LCMSMS    in μg/L,Units,,Anatoxin- a  LC-MS/MS toxic,ATX confirmation,HomoATX  LC-MS/MS,HomoATX confirmation,DiHydroATX  LC-MS/MS,DihydroATX confirmation,DiHydrohomoATX  LC-MS/MS,DihydrohomoATX confirmation,Phenyl-alanine,(n),CYL + dCYL,[CYL],Confirm?,CYL LCMSMS,Confirm?,LCMSMS Detection Limit,CYL μg/L OR μg/g,,,Date Tested,Long or Short Protocol,Voucher Conc in μg/mL,Sample Conc in μg/L or g/kg,dRR,RR,mRR,H4YR,hYR,YR,dLR,LR,mLR,meLR,AR,FR,WR,dLA,LA,mLA,LL,LY,LW,LF,NOD,zLR,??
221,24-221,Sfk Eel River,7/10/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0693,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.15),ug/g,-1,-1,,0.042,0.042,(<0.0164),ug/gram,,0.042,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0287),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
222,24-222,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0872,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,0.026,0.026,(<0.0130),ug/gram,,0.026,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0228),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
223,24-223,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0565,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.18),ug/g,-1,-1,,0.021,0.021,(<0.0201),ug/gram,,0.021,possible,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0352),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
224,24-224,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0502,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.21),ug/g,-1,-1,,0.024,0.024,(<0.0227),ug/gram,,0.024,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0396),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
225,24-225,Sfk Eel River,7/17/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0818,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,0.015,0.015,(<0.0139),ug/gram,,0.015,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0243),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
226,24-226,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1066,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.165,0.165,(<0.0107),ug/gram,,0.165,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0186),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
227,24-227,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<2.06),ug/L,-1,-1,,,,(<0.2275),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.397),ug/L,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
228,24-228,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0323,Owner,,Y,2,1-Feb-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,0.083,0.132,(<0.0141),ug/gram,,0.083,possible,-, ,0.049,confirmed,-, ,confirmed,1,,, ,, ,(<0.0246),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
229,24-229,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1163,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,1.423,1.588,(<0.0098),ug/gram,,1.423,confirmed,-, ,0.165,confirmed,-, , ,1,,, ,, ,(<0.0171),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
230,24-230,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1262,Owner,,Y,5,1-Feb-24,Owner,,LCMS,0.16,(<0.08),ug/g,-1,-1,,0.026,0.089,(<0.0090),ug/gram,,0.026,confirmed,-, ,0.062,confirmed,-, ,confirmed,1,,, ,, ,(<0.0157),ug/gram,,,6-Mar-24, ,0.004,163.883,,,,,,,,,,,,,,,,,,,,,100%,,
231,24-231,Sfk Eel River,7/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0434,Owner,,Y,2,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,0.605,0.778,(<0.0105),ug/gram,,0.605,confirmed,-, ,0.173,confirmed,-, , ,1,,, ,, ,(<0.0183),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
232,24-232,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1321,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,0.12,0.216,(<0.0086),ug/gram,,0.12,confirmed,-, ,0.096,confirmed,-, ,confirmed,1,,, ,, ,(<0.0150),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
233,24-233,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0995,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,5.137,6.092,(<0.0114),ug/gram,,5.137,confirmed,-, ,0.955,confirmed,-, , ,1,,, ,, ,(<0.0200),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
234,24-234,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0764,Owner,,Y,5,1-Feb-24,Owner,,LCMS,0.66,(<0.13),ug/g,-1,-1,,6.559,7.583,(<0.0149),ug/gram,,6.559,confirmed,-, ,1.024,confirmed,-, , ,1,,, ,, ,(<0.0260),ug/gram,,,6-Mar-24, ,0.01,659.559,,,,,,,,,,,,,,,,,,,,,100%,,
235,24-235,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0798,Owner,,Y,5,1-Feb-24,Owner,,LCMS,0.64,(<0.13),ug/g,-1,-1,,6.736,7.829,(<0.0143),ug/gram,,6.736,confirmed,-, ,1.093,confirmed,-, , ,1,,, ,, ,(<0.0249),ug/gram,,,6-Mar-24, ,0.01,643.949,,,,,,,,,,,,,,,,,,,,,100%,,
236,24-236,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0758,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.14),ug/g,-1,-1,,4.227,5.019,(<0.0150),ug/gram,,4.227,confirmed,-, ,0.792,confirmed,-, , ,1,,, ,, ,(<0.0262),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
237,24-237,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1144,Owner,,Y,5,1-Jan-24,Owner,,LCMS,0.35,(<0.09),ug/g,-1,-1,,0.588,0.763,(<0.0099),ug/gram,,0.588,confirmed,-, ,0.175,confirmed,-, , ,1,,, ,, ,(<0.0174),ug/gram,,,6-Mar-24, ,0.008,348.834,,,,,,,,,,,,,,,,,,,,,100%,,
238,24-238,Sfk Eel River,7/31/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2008,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,3.862,4.988,(<0.0113),ug/gram,,3.862,confirmed,-, ,1.126,confirmed,-, , ,1,,, ,, ,(<0.0198),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
239,24-239,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1348,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,1.587,1.868,(<0.0084),ug/gram,,1.587,confirmed,-, ,0.281,confirmed,-, , ,1,,, ,, ,(<0.0147),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
240,24-240,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1115,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,10.456,11.675,(<0.0102),ug/gram,,10.456,confirmed,-, ,1.22,confirmed,-, , ,1,,, ,, ,(<0.0178),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
241,24-241,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1151,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,11.799,13.044,(<0.0099),ug/gram,,11.799,confirmed,-, ,1.245,confirmed,-, , ,1,,, ,, ,(<0.0173),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
242,24-242,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1153,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,11.226,12.468,(<0.0099),ug/gram,,11.226,confirmed,-, ,1.242,confirmed,-, , ,1,,, ,, ,(<0.0172),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
243,24-243,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1866,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,1.144,1.232,(<0.0122),ug/gram,,1.144,confirmed,-, ,0.088,confirmed,-, , ,1,,, ,, ,(<0.0213),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
244,24-244,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0919,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,4.13,4.813,(<0.0124),ug/gram,,4.13,confirmed,-, ,0.683,confirmed,-, , ,1,,, ,, ,(<0.0216),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
245,24-245,Sfk Eel River,8/7/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0986,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,34.248,38.588,(<0.0115),ug/gram,,34.248,confirmed,-,possible,4.34,confirmed,-, , ,1,,, ,, ,(<0.0202),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
246,24-246,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1865,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,11.028,12.423,(<0.0122),ug/gram,,10.991,confirmed,0.038,possible,1.395,confirmed,-, , ,1,,, ,, ,(<0.0213),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
247,24-247,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0304,Owner,,Y,2,1-Feb-24,Owner,,LCMS, ,(<0.14),ug/g,-1,-1,,53.561,60.579,(<0.0150),ug/gram,,53.561,confirmed,-, ,7.018,confirmed,-, , ,1,,, ,, ,(<0.0261),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
248,24-248,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1955,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,45.657,51.352,(<0.0116),ug/gram,,45.657,confirmed,-, ,5.695,confirmed,-, , ,1,,, ,, ,(<0.0203),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
249,24-249,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0975,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,20.204,23.151,(<0.0117),ug/gram,,20.204,confirmed,-, ,2.947,confirmed,-, , ,1,,, ,, ,(<0.0204),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
250,24-250,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1219,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,23.811,27.124,(<0.0093),ug/gram,,23.811,confirmed,-, ,3.314,confirmed,-, , ,1,,, ,, ,(<0.0163),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
251,24-251,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0882,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,21.38,24.266,(<0.0129),ug/gram,,21.38,confirmed,-, ,2.886,confirmed,-, , ,1,,, ,, ,(<0.0225),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
252,24-252,Sfk Eel River,8/14/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1075,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,21.478,25.082,(<0.0106),ug/gram,,21.478,confirmed,-, ,3.604,confirmed,-, , ,1,,, ,, ,(<0.0185),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
253,24-253,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0796,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,7.41,8.163,(<0.0143),ug/gram,,7.41,confirmed,-, ,0.753,confirmed,-, , ,1,,, ,, ,(<0.0250),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
254,24-254,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2043,Owner,,Y,10,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,20.565,23.78,(<0.0111),ug/gram,,20.565,confirmed,-, ,3.215,confirmed,-, , ,1,,, ,, ,(<0.0195),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
255,24-255,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1751,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,5.981,6.923,(<0.0130),ug/gram,,5.981,confirmed,-, ,0.942,confirmed,-, , ,1,,, ,, ,(<0.0227),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
256,24-256,Blaszczak Lab,N/A,2/27/2024,"ATX, MC",,,,,,,W,10,,,0,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<2.06),ug/L,-1,-1,,,,(<0.2275),ug/L,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.397),ug/L,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
257,24-257,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.107,Owner,,Y,5,1-Feb-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,13.053,16.035,(<0.0106),ug/gram,,13.053,confirmed,-, ,2.982,confirmed,-, , ,1,,, ,, ,(<0.0186),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
258,24-258,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1771,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,14.064,17.317,(<0.0128),ug/gram,,14.064,confirmed,-, ,3.253,confirmed,-, , ,1,,, ,, ,(<0.0224),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
259,24-259,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1992,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,14.788,17.931,(<0.0114),ug/gram,,14.788,confirmed,-, ,3.143,confirmed,-, , ,1,,, ,, ,(<0.0199),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
260,24-260,Sfk Eel River,8/22/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1038,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,28.817,32.741,(<0.0110),ug/gram,,28.817,confirmed,-, ,3.924,confirmed,-, , ,1,,, ,, ,(<0.0191),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
261,24-261,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0994,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,10.67,12.598,(<0.0114),ug/gram,,10.67,confirmed,-, ,1.928,confirmed,-, , ,1,,, ,, ,(<0.0200),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
262,24-262,Sfk Eel River,8/28/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.236,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.09),ug/g,-1,-1,,0.463,0.617,(<0.0096),ug/gram,,0.463,confirmed,-, ,0.153,confirmed,-, ,confirmed,1,,, ,, ,(<0.0168),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
263,24-263,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1692,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.12),ug/g,-1,-1,,2.615,2.913,(<0.0134),ug/gram,,2.615,confirmed,-, ,0.298,confirmed,-, , ,1,,, ,, ,(<0.0235),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
264,24-264,Sfk Eel River,9/4/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1911,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.013,0.013,(<0.0119),ug/gram,,0.013,possible,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0208),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
265,24-265,Sfk Eel River,9/12/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.182,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.027,0.037,(<0.0125),ug/gram,,0.027,confirmed,-, ,0.01,possible,-, ,confirmed,1,,, ,, ,(<0.0218),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
266,24-266,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1294,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.08),ug/g,-1,-1,,6.064,7.223,(<0.0088),ug/gram,,6.064,confirmed,-, ,1.159,confirmed,-, , ,1,,, ,, ,(<0.0154),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
267,24-267,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0782,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.13),ug/g,-1,-1,,,,(<0.0145),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.0254),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
268,24-268,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.1797,Owner,,Y,10,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.002,0.002,(<0.0127),ug/gram,,0.002,suspect,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0221),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
269,24-269,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2076,Owner,,Y,10,1-Jan-24,Owner,,LCMS,0.2,(<0.10),ug/g,-1,-1,,0.001,0.007,(<0.0110),ug/gram,,0.001,suspect,-, ,0.006,confirmed,-, ,confirmed,1,,, ,, ,(<0.0191),ug/gram,,,6-Mar-24, ,0.004,198.752,,,,,,,,,,,,,,,100%,,,,,,,,
270,24-270,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.2095,Owner,,Y,10,1-Jan-24,Owner,,LCMS,0.21,(<0.10),ug/g,-1,-1,,0.001,0.001,(<0.0109),ug/gram,,0.001,suspect,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0190),ug/gram,,,6-Mar-24, ,0.004,212.208,,,,,,,,,,,,,,,100%,,,,,,,,
271,24-271,Sfk Eel River,9/18/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.098,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,,,(<0.0116),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0203),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
272,24-272,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0958,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,1.031,1.122,(<0.0119),ug/gram,,1.031,confirmed,-, ,0.091,confirmed,-, , ,1,,, ,, ,(<0.0207),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
273,24-273,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0236,Owner,,Y,2,1-Jan-24,Owner,,LCMS, ,(<0.17),ug/g,-1,-1,,,,(<0.0193),ug/gram,,-, ,-, ,-, ,-, , ,1,,, ,, ,(<0.0337),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
274,24-274,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0641,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.16),ug/g,-1,-1,,,,(<0.0177),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0310),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
275,24-275,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0965,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.11),ug/g,-1,-1,,0.006,0.006,(<0.0118),ug/gram,,0.006,confirmed,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0206),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
276,24-276,Sfk Eel River,9/24/2023,2/27/2024,"ATX, MC",,,,,,,P,,,DW,0.0727,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.14),ug/g,-1,-1,,0.028,0.028,(<0.0156),ug/gram,,-, ,0.028,possible,-, ,-, ,confirmed,1,,, ,, ,(<0.0273),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
277,24-277,Salmon River,6/28/2023,2/27/2024,"ATX, MC",12-May-24,12-May-24,,,,,P,,,DW,0.1002,Owner,,Y,5,1-Jan-24,Owner,,LCMS, ,(<0.10),ug/g,-1,-1,,,,(<0.0114),ug/gram,,-, ,-, ,-, ,-, ,confirmed,1,,, ,, ,(<0.0198),ug/gram,,,6-Mar-24, ,0, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
